Date : 2026-05-02 17:54:01
Directory : d:\Projects\C\cleonos
Total : 1573 files,  448049 codes, 96912 comments, 83913 blanks, all 628874 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        599 |    287,424 |     33,316 |     54,139 |    374,879 |
| C++              |        668 |     80,443 |     58,997 |     17,481 |    156,921 |
| Shell Script     |         44 |     38,186 |      2,836 |      4,127 |     45,149 |
| Markdown         |         68 |     12,495 |         26 |      5,090 |     17,611 |
| XML              |         63 |     11,476 |          0 |         61 |     11,537 |
| Python           |         31 |      8,395 |      1,253 |      1,450 |     11,098 |
| Makefile         |         18 |      2,363 |        173 |        500 |      3,036 |
| CMake            |         28 |      2,240 |          0 |        324 |      2,564 |
| JSON             |          8 |      1,547 |          0 |          9 |      1,556 |
| PHP              |          1 |      1,118 |          0 |        135 |      1,253 |
| Perl             |         11 |        957 |        118 |        241 |      1,316 |
| YAML             |         15 |        605 |         31 |        134 |        770 |
| Go Assembly      |          2 |        178 |          0 |         24 |        202 |
| PowerShell       |          1 |        171 |          2 |         42 |        215 |
| Properties       |          3 |        138 |         82 |         89 |        309 |
| Diff             |          2 |        116 |         10 |         20 |        146 |
| Ini              |          2 |         81 |          0 |         16 |         97 |
| Rust             |          2 |         44 |          0 |         15 |         59 |
| pip requirements |          3 |         38 |         50 |          3 |         91 |
| Batch            |          2 |         20 |         15 |          7 |         42 |
| reStructuredText |          1 |         13 |          3 |          5 |         21 |
| Groovy           |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |      1,573 |    448,049 |     96,912 |     83,913 |    628,874 |
| . (Files)                                                                                                                                       |          3 |        279 |          0 |         84 |        363 |
| .github                                                                                                                                         |          2 |        195 |          0 |         30 |        225 |
| .github\workflows                                                                                                                               |          2 |        195 |          0 |         30 |        225 |
| bdt                                                                                                                                             |         23 |      3,909 |          0 |        467 |      4,376 |
| bdt (Files)                                                                                                                                     |          3 |        644 |          0 |        182 |        826 |
| bdt\src                                                                                                                                         |         20 |      3,265 |          0 |        285 |      3,550 |
| cleonos                                                                                                                                         |      1,252 |    381,223 |     94,860 |     69,279 |    545,362 |
| cleonos\c                                                                                                                                       |        185 |     38,249 |        472 |      7,698 |     46,419 |
| cleonos\c (Files)                                                                                                                               |          1 |          3 |          4 |          2 |          9 |
| cleonos\c\apps                                                                                                                                  |        147 |     30,544 |        467 |      6,219 |     37,230 |
| cleonos\c\apps (Files)                                                                                                                          |        104 |     14,387 |          7 |      3,102 |     17,496 |
| cleonos\c\apps\browser                                                                                                                          |         17 |      5,339 |          3 |        924 |      6,266 |
| cleonos\c\apps\doom                                                                                                                             |          3 |      1,439 |          1 |        340 |      1,780 |
| cleonos\c\apps\qrcode                                                                                                                           |          2 |        821 |        444 |        130 |      1,395 |
| cleonos\c\apps\shell                                                                                                                            |          7 |      3,761 |          4 |        986 |      4,751 |
| cleonos\c\apps\terminal                                                                                                                         |          3 |      1,555 |          1 |        153 |      1,709 |
| cleonos\c\apps\tls                                                                                                                              |          4 |        757 |          7 |        137 |        901 |
| cleonos\c\apps\uwm                                                                                                                              |          6 |      2,184 |          0 |        418 |      2,602 |
| cleonos\c\apps\uwm_uilib                                                                                                                        |          1 |        301 |          0 |         29 |        330 |
| cleonos\c\include                                                                                                                               |         12 |        608 |          0 |         86 |        694 |
| cleonos\c\pkg                                                                                                                                   |         17 |      5,131 |          1 |        821 |      5,953 |
| cleonos\c\pkg (Files)                                                                                                                           |         14 |      3,960 |          0 |        673 |      4,633 |
| cleonos\c\pkg\server                                                                                                                            |          3 |      1,171 |          1 |        148 |      1,320 |
| cleonos\c\pkg\server (Files)                                                                                                                    |          1 |      1,118 |          0 |        135 |      1,253 |
| cleonos\c\pkg\server\sample                                                                                                                     |          1 |          5 |          0 |          2 |          7 |
| cleonos\c\pkg\server\sample\apps                                                                                                                |          1 |          5 |          0 |          2 |          7 |
| cleonos\c\pkg\server\sample\apps\hello                                                                                                          |          1 |          5 |          0 |          2 |          7 |
| cleonos\c\pkg\server\scripts                                                                                                                    |          1 |         48 |          1 |         11 |         60 |
| cleonos\c\src                                                                                                                                   |          8 |      1,963 |          0 |        570 |      2,533 |
| cleonos\rust                                                                                                                                    |          1 |         23 |          0 |          9 |         32 |
| cleonos\rust\src                                                                                                                                |          1 |         23 |          0 |          9 |         32 |
| cleonos\third-party                                                                                                                             |      1,066 |    342,951 |     94,388 |     61,572 |    498,911 |
| cleonos\third-party\doomgeneric                                                                                                                 |        195 |     47,408 |     12,516 |     13,825 |     73,749 |
| cleonos\third-party\doomgeneric (Files)                                                                                                         |          1 |         51 |          0 |         17 |         68 |
| cleonos\third-party\doomgeneric\doomgeneric                                                                                                     |        194 |     47,357 |     12,516 |     13,808 |     73,681 |
| cleonos\third-party\litehtml                                                                                                                    |        214 |     70,232 |      7,718 |      7,129 |     85,079 |
| cleonos\third-party\litehtml (Files)                                                                                                            |          3 |        592 |          0 |         34 |        626 |
| cleonos\third-party\litehtml\.github                                                                                                            |          2 |         35 |         13 |         12 |         60 |
| cleonos\third-party\litehtml\.github (Files)                                                                                                    |          1 |         11 |          1 |          2 |         14 |
| cleonos\third-party\litehtml\.github\workflows                                                                                                  |          1 |         24 |         12 |         10 |         46 |
| cleonos\third-party\litehtml\cmake                                                                                                              |          1 |          3 |          0 |          1 |          4 |
| cleonos\third-party\litehtml\containers                                                                                                         |         30 |     12,392 |      3,605 |      1,876 |     17,873 |
| cleonos\third-party\litehtml\containers\cairo                                                                                                   |         11 |      1,966 |         47 |        339 |      2,352 |
| cleonos\third-party\litehtml\containers\haiku                                                                                                   |          2 |        524 |         69 |         82 |        675 |
| cleonos\third-party\litehtml\containers\test                                                                                                    |          9 |      8,552 |      3,480 |      1,254 |     13,286 |
| cleonos\third-party\litehtml\containers\windows                                                                                                 |          8 |      1,350 |          9 |        201 |      1,560 |
| cleonos\third-party\litehtml\containers\windows\cairo                                                                                           |          4 |        646 |          2 |         92 |        740 |
| cleonos\third-party\litehtml\containers\windows\gdiplus                                                                                         |          2 |        232 |          3 |         31 |        266 |
| cleonos\third-party\litehtml\containers\windows\win32                                                                                           |          2 |        472 |          4 |         78 |        554 |
| cleonos\third-party\litehtml\doc                                                                                                                |          3 |        606 |          0 |        147 |        753 |
| cleonos\third-party\litehtml\include                                                                                                            |         69 |      6,268 |        340 |      1,320 |      7,928 |
| cleonos\third-party\litehtml\include (Files)                                                                                                    |          1 |         10 |          0 |          3 |         13 |
| cleonos\third-party\litehtml\include\litehtml                                                                                                   |         68 |      6,258 |        340 |      1,317 |      7,915 |
| cleonos\third-party\litehtml\src                                                                                                                |         92 |     48,026 |      3,689 |      3,370 |     55,085 |
| cleonos\third-party\litehtml\src (Files)                                                                                                        |         61 |     17,227 |      1,720 |      2,507 |     21,454 |
| cleonos\third-party\litehtml\src\gumbo                                                                                                          |         31 |     30,799 |      1,969 |        863 |     33,631 |
| cleonos\third-party\litehtml\src\gumbo (Files)                                                                                                  |         12 |     29,534 |      1,072 |        598 |     31,204 |
| cleonos\third-party\litehtml\src\gumbo\include                                                                                                  |         18 |      1,262 |        896 |        264 |      2,422 |
| cleonos\third-party\litehtml\src\gumbo\include (Files)                                                                                          |          1 |        154 |        432 |         89 |        675 |
| cleonos\third-party\litehtml\src\gumbo\include\gumbo                                                                                            |         17 |      1,108 |        464 |        175 |      1,747 |
| cleonos\third-party\litehtml\src\gumbo\visualc                                                                                                  |          1 |          3 |          1 |          1 |          5 |
| cleonos\third-party\litehtml\src\gumbo\visualc\include                                                                                          |          1 |          3 |          1 |          1 |          5 |
| cleonos\third-party\litehtml\support                                                                                                            |         14 |      2,310 |         71 |        369 |      2,750 |
| cleonos\third-party\litehtml\support (Files)                                                                                                    |          1 |        240 |          0 |         70 |        310 |
| cleonos\third-party\litehtml\support\draw_buffer                                                                                                |          2 |        217 |         65 |         47 |        329 |
| cleonos\third-party\litehtml\support\gtkmm4                                                                                                     |          2 |        941 |          5 |        122 |      1,068 |
| cleonos\third-party\litehtml\support\webpage                                                                                                    |          9 |        912 |          1 |        130 |      1,043 |
| cleonos\third-party\mbedtls                                                                                                                     |        657 |    225,311 |     74,154 |     40,618 |    340,083 |
| cleonos\third-party\mbedtls (Files)                                                                                                             |         13 |      1,365 |        125 |        437 |      1,927 |
| cleonos\third-party\mbedtls\.github                                                                                                             |          4 |         53 |          0 |         39 |         92 |
| cleonos\third-party\mbedtls\.github (Files)                                                                                                     |          1 |         17 |          0 |         12 |         29 |
| cleonos\third-party\mbedtls\.github\ISSUE_TEMPLATE                                                                                              |          3 |         36 |          0 |         27 |         63 |
| cleonos\third-party\mbedtls\3rdparty                                                                                                            |         32 |      4,217 |      1,479 |        997 |      6,693 |
| cleonos\third-party\mbedtls\3rdparty (Files)                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| cleonos\third-party\mbedtls\3rdparty\everest                                                                                                    |         24 |      2,761 |        541 |        613 |      3,915 |
